ExchangeName;Country;Capitalization;Capitalization/GDP;Value traded (EOB Total);Value traded (Total)/GDP;Share turnover velocity;Capitalization/Number of listed companies (Total);Number of listed companies (Total);Number of listed companies (Foreign)/Number of listed companies (Total);Number of listed companies (Domestic)/Population;Number of listed companies (Domestic);Number of listed companies (Foreign);Number of new listings through IPO (Total);Number of trades (EOB);GDP;Population
Athens Stock Exchange;Greece;59035,28;269,2749;19305,22;88,056;0,327;371,2911;159;0,0314;0,009;154;5;2;7519,91;219,238;17076
Budapest Stock Exchange;Hungary;23867,01;132,5849;9409,92;52,2736;0,3943;378,8414;63;0,0159;6,399;62;1;3;2150,6;180,013;9,689
Bolsa Electronica de Chile;Chile;112397,02;373,7485;2862,77;sty.00;0,0255;384,9213;292;0,2877;10,4897;208;84;0;26226;300,729;19,829
Bolsa Latinoamericana de Valores (Latinex);Panama;15628;204,2262;632,73;sty.00;0,0405;390,7;40;0,175;sty.00;33;7;2;04.sty;76,523;4,395
Bursa Malaysia;Malaysia;381207,16;936,5648;110497,92;271,4757;0,2899;392,9971;970;0,0072;29,4928;963;7;34;58427,39;407,027;32,652
Luxembourg Stock Exchange;Luxembourg;50896,86;622,9268;47,44;0,5806;0,0009;400,7627;127;0,7795;43,4109;28;99;4;sty.00;81,706;0,645
Hochiminh Stock Exchange;Vietnam;170152,26;418,6282;162071,35;398,7466;0,9525;423,2643;402;0;4,0417;402;0;6;149473,54;406,452;99,462
BME Spanish Exchanges;Spain;665497,68;469,0171;363211,18;255,9772;0,5458;444,2575;1498;0,0174;30,9146;1472;26;12;37777,25;1418,92;47,615
Prague Stock Exchange;Czech Republic;28808,94;99,1606;7367,61;25,3594;0,2557;488,2871;59;0,5932;sty.00;24;35;3;838,21;290,528;10,828
Tel-Aviv Stock Exchange;Israel;269637,29;513,5919;111767,48;212,8892;0,4145;492,0389;548;0,0547;53,6121;518;30;14;33095,36;525,003;9,662
